marka;model;paket;tamad
ALFA ROMEO;GIULIETTA;1.4 TB 120 PROGRESSION PLUS;GIULIETTA 1.4 TB 120 PROGRESSION PLUS
ALFA ROMEO;GIULIETTA;1.4 TB 120 DISTINCTIVE;GIULIETTA 1.4 TB 120 DISTINCTIVE
ALFA ROMEO;GIULIETTA;1.4 TB MULTIAIR 170 DISTINCTIVE;GIULIETTA 1.4 TB MULTIAIR 170 DISTINCTIVE
ALFA ROMEO;GIULIETTA;1.6 JTD 105 PROGRESSION PLUS;GIULIETTA 1.6 JTD 105 PROGRESSION PLUS
ALFA ROMEO;GIULIETTA;1.6 JTD 105 DISTINCTIVE;GIULIETTA 1.6 JTD 105 DISTINCTIVE
ALFA ROMEO;GIULIETTA;1.750 TB 235 QUAGRIFOGLIO VERDE;GIULIETTA 1.750 TB 235 QUAGRIFOGLIO VERDE
ALFA ROMEO;MITO;1.4 TB MULTIAIR 135 DIS.TIVE TCT 3 K;MITO 1.4 TB MULTIAIR 135 DIS.TIVE TCT 3 K
ALFA ROMEO;MITO;1.4 TB MULTIAIR (135) TCT CITY;MITO 1.4 TB MULTIAIR (135) TCT CITY
ALFA ROMEO;MITO;1.4 TB MULTIAIR (135) TCT SPORTIVO;MITO 1.4 TB MULTIAIR (135) TCT SPORTIVO
ALFA ROMEO;MITO;1.4 TB MULTIAR (135) TCT;MITO 1.4 TB MULTIAR (135) TCT
ALFA ROMEO;GIULIETTA;1.4 TB M.AIR 170 TCT PROG.PLU;GIULIETTA 1.4 TB M.AIR 170 TCT PROG.PLU
ALFA ROMEO;GIULIETTA;1.4 TB M.AIR 170 TCT DISTINCTIVE;GIULIETTA 1.4 TB M.AIR 170 TCT DISTINCTIVE
ALFA ROMEO;GIULIETTA;1.4 TB MULTIAIR (170);GIULIETTA 1.4 TB MULTIAIR (170)
ALFA ROMEO;MITO;1.3 JTD (95) CITY;MITO 1.3 JTD (95) CITY
ALFA ROMEO;4C;LAUNCH EDITION 1.750 TB 240 TCT;4C LAUNCH EDITION 1.750 TB 240 TCT
ALFA ROMEO;GIULIETTA;1.8 TBI 240 TCT QV;GIULIETTA 1.8 TBI 240 TCT QV
ALFA ROMEO;MITO;1.3 JTD (85) CITY;MITO 1.3 JTD (85) CITY
ALFA ROMEO;MITO;1.4 170 3 KAPI QV TCT S2;MITO 1.4 170 3 KAPI QV TCT S2
ALFA ROMEO;GIULIETTA; 1.6 JTD 120 PROGRESSION;GIULIETTA  1.6 JTD 120 PROGRESSION
ALFA ROMEO;GIULIETTA;1.6 JTDM 120 PROGRESSION TCT;GIULIETTA 1.6 JTDM 120 PROGRESSION TCT
ALFA ROMEO;GIULIETTA;1.6 JTDM 120 SUPER TCT;GIULIETTA 1.6 JTDM 120 SUPER TCT
ALFA ROMEO;GIULIETTA;1.4 TB MULTIAIR  170 SUPER TCT;GIULIETTA 1.4 TB MULTIAIR  170 SUPER TCT
ALFA ROMEO;GIULIETTA;1.8 TBI 240 VELOCE TCT;GIULIETTA 1.8 TBI 240 VELOCE TCT
ALFA ROMEO;4C;1.8 240 TCT;4C 1.8 240 TCT
ALFA ROMEO;4C;SPIDER 1.8 240 TCT;4C SPIDER 1.8 240 TCT
ALFA ROMEO;GIULIETTA;1.6 JTD 120 SUPER;GIULIETTA 1.6 JTD 120 SUPER
ALFA ROMEO;GIULIA;2.0 200 SUPER RWD AT;GIULIA 2.0 200 SUPER RWD AT
ALFA ROMEO;GIULIA;2.0 280 VELOCE AWD AT;GIULIA 2.0 280 VELOCE AWD AT
ALFA ROMEO;GIULIA;2.9 510 QV RWD AT;GIULIA 2.9 510 QV RWD AT
ALFA ROMEO;STELVIO;2.0 280 AWD AT;STELVIO 2.0 280 AWD AT
ALFA ROMEO;GIULIA;2.0 200 SPRINT RWD AT;GIULIA 2.0 200 SPRINT RWD AT
ALFA ROMEO;STELVIO;2.0 200 SPRINT AWD AT;STELVIO 2.0 200 SPRINT AWD AT
ALFA ROMEO;STELVIO;2.0 280 VELOCE AWD AT;STELVIO 2.0 280 VELOCE AWD AT
ALFA ROMEO;GIULIETTA;1.6 JTD 120 SPRINT TCT;GIULIETTA 1.6 JTD 120 SPRINT TCT
ALFA ROMEO;GIULIETTA;1.6 JTD 120 TI TCT;GIULIETTA 1.6 JTD 120 TI TCT
ALFA ROMEO;GIULIETTA;1.6 JTD TCT;GIULIETTA 1.6 JTD TCT
ALFA ROMEO;STEVIO;QUADRIFOGLIO 2.9 (510);STEVIO QUADRIFOGLIO 2.9 (510)
ALFA ROMEO;TONALE;EDIZIONE SPECIALE 1.5 HYBRID 160 DCT;TONALE EDIZIONE SPECIALE 1.5 HYBRID 160 DCT
ALFA ROMEO;GIULIA;2.0 280 ESTREMA AWD AT;GIULIA 2.0 280 ESTREMA AWD AT
ALFA ROMEO;STELVIO;2.0 280 ESTREMA AWD AT;STELVIO 2.0 280 ESTREMA AWD AT
ALFA ROMEO;TONALE;TI 1.6 DIESEL 130 DCT;TONALE TI 1.6 DIESEL 130 DCT
ALFA ROMEO;TONALE;SPRINT 1.6 DIESEL 130 DCT;TONALE SPRINT 1.6 DIESEL 130 DCT
ALFA ROMEO;TONALE;TI 1.5 HYBRID 160 TCT;TONALE TI 1.5 HYBRID 160 TCT
ALFA ROMEO;TONALE;VELOCE 1.5 HYBRID 160 TCT;TONALE VELOCE 1.5 HYBRID 160 TCT
ALFA ROMEO;GIULIA;2.0 280 LUSSO AWD AT;GIULIA 2.0 280 LUSSO AWD AT
ALFA ROMEO;STELVIO;2.0 280 LUSSO AWD AT;STELVIO 2.0 280 LUSSO AWD AT
ALFA ROMEO;GIULIA;MCA 2.0 280 COMPETIZIONE AWD AT;GIULIA MCA 2.0 280 COMPETIZIONE AWD AT
ALFA ROMEO;GIULIA;MCA 2.0 280 VELOCE AWD AT;GIULIA MCA 2.0 280 VELOCE AWD AT
ALFA ROMEO;STELVIO;MCA 2.0 280 VELOCE AWD AT;STELVIO MCA 2.0 280 VELOCE AWD AT
ALFA ROMEO;STELVIO;MCA 2.0 280 COMPETIZIONE AWD AT;STELVIO MCA 2.0 280 COMPETIZIONE AWD AT
ALFA ROMEO;TONALE;VELOCE 1.3 280 PLUG-IN HYBRID EAWD;TONALE VELOCE 1.3 280 PLUG-IN HYBRID EAWD
ALFA ROMEO;GIULIA;2.9 520 QV RWD AT;GIULIA 2.9 520 QV RWD AT
ALFA ROMEO;STELVIO;2.9 520 QV AWD AT;STELVIO 2.9 520 QV AWD AT
ALFA ROMEO;TONALE;SPECIALE 1.6 DIESEL 130 DCT;TONALE SPECIALE 1.6 DIESEL 130 DCT
ALFA ROMEO;TONALE;SPECIALE 1.5 VGT 160 HYBRID TCT;TONALE SPECIALE 1.5 VGT 160 HYBRID TCT
ALFA ROMEO;TONALE;TRIBUTO 1.5 VGT 160 HYBRID TCT;TONALE TRIBUTO 1.5 VGT 160 HYBRID TCT
ALFA ROMEO;TONALE;TRIBUTO 1.6 DIESEL 130 DCT;TONALE TRIBUTO 1.6 DIESEL 130 DCT
ALFA ROMEO;TONALE;TRIBUTO 1.3 PLUG-IN HYBRID 280 eAWD;TONALE TRIBUTO 1.3 PLUG-IN HYBRID 280 eAWD
ALFA ROMEO;JUNIOR;ELETTRICA 115KW (156);JUNIOR ELETTRICA 115KW (156)
ALFA ROMEO;JUNIOR;ELETTRICA SPECIALE 115KW (156);JUNIOR ELETTRICA SPECIALE 115KW (156)
ALFA ROMEO;JUNIOR;IBRIDA 1.2 136 HYBRID;JUNIOR IBRIDA 1.2 136 HYBRID
ALFA ROMEO;JUNIOR;IBRIDA SPECIALE 1.2 136 HYBRID;JUNIOR IBRIDA SPECIALE 1.2 136 HYBRID
ASTON MARTIN;V8;VANTAGE;V8 VANTAGE
ASTON MARTIN;DB9;VOLANTE;DB9 VOLANTE
ASTON MARTIN;DB9;VOLANTE TOUCHTRONIC;DB9 VOLANTE TOUCHTRONIC
ASTON MARTIN;DB9;COUPE;DB9 COUPE
ASTON MARTIN;DB9;COUPE TOUCHTRONIC;DB9 COUPE TOUCHTRONIC
ASTON MARTIN;DBS;6.0;DBS 6.0
ASTON MARTIN;RAPIDE;6.0 VOLANTE TOUCHTRONIC;RAPIDE 6.0 VOLANTE TOUCHTRONIC
ASTON MARTIN;DB9;6.0 VOLANTE TOUCHTRONIC;DB9 6.0 VOLANTE TOUCHTRONIC
ASTON MARTIN;DBS;6.0 TOUCHTRONIC;DBS 6.0 TOUCHTRONIC
ASTON MARTIN;V8;VANTAGE SPORTSHIFT COUPE;V8 VANTAGE SPORTSHIFT COUPE
ASTON MARTIN;V8;VANTAGE SPORTSHIFT ROADSTER;V8 VANTAGE SPORTSHIFT ROADSTER
ASTON MARTIN;V8;VANTAGE S COUPE;V8 VANTAGE S COUPE
ASTON MARTIN;V8;VANTAGE S ROADSTAR SPORTSSHIFT II;V8 VANTAGE S ROADSTAR SPORTSSHIFT II
ASTON MARTIN;V12;VANTAGE COUPE;V12 VANTAGE COUPE
ASTON MARTIN;RAPIDE;TOUCHTRONIC;RAPIDE TOUCHTRONIC
ASTON MARTIN;VIRAGE;COUPE TOUCHTRONIC;VIRAGE COUPE TOUCHTRONIC
ASTON MARTIN;VIRAGE;VOLANTE TOUCHTRONIC;VIRAGE VOLANTE TOUCHTRONIC
ASTON MARTIN;VANQUISH;6.0;VANQUISH 6.0
ASTON MARTIN;RAPIDE;S;RAPIDE S
ASTON MARTIN;DB11;;DB11
ASTON MARTIN;CG;1.3;CG 1.3
ASTON MARTIN;DBS;SUPERLEGGERA 5.2;DBS SUPERLEGGERA 5.2
ASTON MARTIN;VANTAGE;COUPE 4.0;VANTAGE COUPE 4.0
ASTON MARTIN;RAPIDE;AMR;RAPIDE AMR
ASTON MARTIN;DB11;4.0;DB11 4.0
ASTON MARTIN;DB11;AMR 5.2;DB11 AMR 5.2
ASTON MARTIN;DBX;;DBX
ASTON MARTIN;VANTAGE;ROADSTAR 4.0;VANTAGE ROADSTAR 4.0
ASTON MARTIN;DB11;V8 VOLANTE;DB11 V8 VOLANTE
ASTON MARTIN;DB11;4.0 V8 CABRIO;DB11 4.0 V8 CABRIO
ASTON MARTIN;VANTAGE;F1 COUPE 4.0;VANTAGE F1 COUPE 4.0
ASTON MARTIN;DBX;707 4.0 V8 AWD AT;DBX 707 4.0 V8 AWD AT
ASTON MARTIN;V12;VANTAGE S 6.0;V12 VANTAGE S 6.0
ASTON MARTIN;DB12;COUPE 4.0 V8;DB12 COUPE 4.0 V8
ASTON MARTIN;DB12;VOLANTE 4.0 V8;DB12 VOLANTE 4.0 V8
ASTON MARTIN;DBS;5.2 V12;DBS 5.2 V12
ASTON MARTIN;DBS;770 5.2 V12;DBS 770 5.2 V12
ASTON MARTIN;V8;VANTAGE COUPE 4.0;V8 VANTAGE COUPE 4.0
ASTON MARTIN;VANQUISH;5.2 V12;VANQUISH 5.2 V12
AUDI;A4;1.6;A4 1.6
AUDI;A4;1.8 TURBO;A4 1.8 TURBO
AUDI;S4;QUATTRO;S4 QUATTRO
AUDI;S6;QUATTRO TIPTRONIC;S6 QUATTRO TIPTRONIC
AUDI;A4;2.0;A4 2.0
AUDI;A4;2.0 MULTITRONIC;A4 2.0 MULTITRONIC
AUDI;A4;1.8T MULTITRONIC;A4 1.8T MULTITRONIC
AUDI;A4;AVANT 1.6;A4 AVANT 1.6
AUDI;A6;AVANT 3.0 QUATTRO TIPTRONIC;A6 AVANT 3.0 QUATTRO TIPTRONIC
AUDI;A6;AVANT 4.2 QUATTRO TIPTRONIC;A6 AVANT 4.2 QUATTRO TIPTRONIC
AUDI;S6;AVANT QUATTRO TIPTRONIC;S6 AVANT QUATTRO TIPTRONIC
AUDI;A3;1.6;A3 1.6
AUDI;A3;2.0 TDI;A3 2.0 TDI
AUDI;S4;QUATTRO TIPTRONIC;S4 QUATTRO TIPTRONIC
AUDI;S4;AVANT QUATTRO;S4 AVANT QUATTRO
AUDI;S4;AVANT QUATTRO TIPTRONIC;S4 AVANT QUATTRO TIPTRONIC
AUDI;A6;3.0 TDI QUATTRO TIPTRONIC;A6 3.0 TDI QUATTRO TIPTRONIC
AUDI;A6;3.2 FSI;A6 3.2 FSI
AUDI;A6;3.2 FSI QUATTRO;A6 3.2 FSI QUATTRO
AUDI;A3;1.6 FSI;A3 1.6 FSI
AUDI;A3;SPORTBACK 1.6;A3 SPORTBACK 1.6
AUDI;A3;SPORTBACK 1.6 FSI;A3 SPORTBACK 1.6 FSI
AUDI;A3;SPORTBACK 2.0 FSI;A3 SPORTBACK 2.0 FSI
AUDI;A3;SPORTBACK 2.0 TDI;A3 SPORTBACK 2.0 TDI
AUDI;A6;2.0 TDI;A6 2.0 TDI
AUDI;A8;LONG 6.0 QUATTRO TIPTRONIC;A8 LONG 6.0 QUATTRO TIPTRONIC
AUDI;A8;3.0 TDI QUATTRO TIPTRONIC;A8 3.0 TDI QUATTRO TIPTRONIC
AUDI;A4;2.0T FSI;A4 2.0T FSI
AUDI;A4;2.0T FSI MULTITRONIC;A4 2.0T FSI MULTITRONIC
AUDI;A4;2.0T FSI QUATTRO;A4 2.0T FSI QUATTRO
AUDI;A4;2.0T FSI QUATTRO TIPTRONIC;A4 2.0T FSI QUATTRO TIPTRONIC
AUDI;A4;3.0 TDI QUATTRO;A4 3.0 TDI QUATTRO
AUDI;A4;2.0 TDI;A4 2.0 TDI
AUDI;A4;2.0 TDI MULTITRONIC;A4 2.0 TDI MULTITRONIC
AUDI;A4;2.0 T FSI QUATTRO-DTM EDITION;A4 2.0 T FSI QUATTRO-DTM EDITION
AUDI;A4;AVANT 2.0;A4 AVANT 2.0
AUDI;A4;AVANT 2.0 T FSI MULTITRONIC;A4 AVANT 2.0 T FSI MULTITRONIC
AUDI;A4;AVANT 2.0 T FSI QUATTRO;A4 AVANT 2.0 T FSI QUATTRO
AUDI;A4;AVANT 2.0 T FSI QUATTRO TIPTRONIC;A4 AVANT 2.0 T FSI QUATTRO TIPTRONIC
AUDI;A4;AVANT 3.2 FSI QUATTRO TIPTRONIC;A4 AVANT 3.2 FSI QUATTRO TIPTRONIC
AUDI;A4;AVANT 2.0 TDI;A4 AVANT 2.0 TDI
AUDI;A4;AVANT 2.0 TDI MULTITRONIC;A4 AVANT 2.0 TDI MULTITRONIC
AUDI;A4;AVANT 3.0 TDI QUATTRO;A4 AVANT 3.0 TDI QUATTRO
AUDI;A6;2.0 T FSI;A6 2.0 T FSI
AUDI;A6;2.0 T FSI MULTIRONIC;A6 2.0 T FSI MULTIRONIC
AUDI;A6;AVANT 2.0 TDI;A6 AVANT 2.0 TDI
AUDI;A6;AVANT 2.0 T FSI;A6 AVANT 2.0 T FSI
AUDI;A6;AVANT 2.0 T FSI MULTITRONIC;A6 AVANT 2.0 T FSI MULTITRONIC
AUDI;A8;3.2 FSI MULTITRONIC;A8 3.2 FSI MULTITRONIC
AUDI;A8;3.2 FSI QUATTRO TIPTRONIC;A8 3.2 FSI QUATTRO TIPTRONIC
AUDI;A8;L 3.2 FSI MULTITRONIC;A8 L 3.2 FSI MULTITRONIC
AUDI;Q7;3.0 TDI QUATTRO TIPTRONIC;Q7 3.0 TDI QUATTRO TIPTRONIC
AUDI;Q7;4.2 FSI QUATTRO TIPTRONIC;Q7 4.2 FSI QUATTRO TIPTRONIC
AUDI;A3;2.0 T FSI;A3 2.0 T FSI
AUDI;A3;2.0 T FSI QUATTRO AMBIENTE;A3 2.0 T FSI QUATTRO AMBIENTE
AUDI;A3;3.2 FSI QUATTRO AMBITION;A3 3.2 FSI QUATTRO AMBITION
AUDI;A3;SPORTBACK 2.0 T FSI;A3 SPORTBACK 2.0 T FSI
AUDI;A3;SPORTBACK 2.0 T FSI DSG AMBITION;A3 SPORTBACK 2.0 T FSI DSG AMBITION
AUDI;A3;SPORTBACK 2.0 T FSI QUATTRO AMBIENTE;A3 SPORTBACK 2.0 T FSI QUATTRO AMBIENTE
AUDI;A3;SPORTBACK 2.0 T FSI S TRONIC AMBIENTE;A3 SPORTBACK 2.0 T FSI S TRONIC AMBIENTE
AUDI;A3;SPORTBACK 3.2 QUATTRO S TRONIC AMBITION;A3 SPORTBACK 3.2 QUATTRO S TRONIC AMBITION
AUDI;A3;SPORTBACK 2.0 TDI S TRONIC;A3 SPORTBACK 2.0 TDI S TRONIC
AUDI;RS4;4.2 FSI QUATTRO;RS4 4.2 FSI QUATTRO
AUDI;RS4;AVANT 4.2 FSI QUATTRO;RS4 AVANT 4.2 FSI QUATTRO
AUDI;A6;2.7 TDI;A6 2.7 TDI
AUDI;A6;2.7 TDI MULTITRONIC;A6 2.7 TDI MULTITRONIC
AUDI;A6;2.7 TDI QUATTRO TIPTRONIC;A6 2.7 TDI QUATTRO TIPTRONIC
AUDI;A6;AVANT 2.7 TDI MULTITRONIC;A6 AVANT 2.7 TDI MULTITRONIC
AUDI;A6;AVANT 3.0 TDI QUATTRO TIPTRONIC;A6 AVANT 3.0 TDI QUATTRO TIPTRONIC
AUDI;A6;ALLROAD QUATTRO 2.7 TDI TIPTRONIC;A6 ALLROAD QUATTRO 2.7 TDI TIPTRONIC
AUDI;A6;ALLROAD QUATTRO 3.0 TDI;A6 ALLROAD QUATTRO 3.0 TDI
AUDI;A6;ALLROAD QUATTRO 3.0 TDI TIPTRONIC;A6 ALLROAD QUATTRO 3.0 TDI TIPTRONIC
AUDI;A6;ALLROAD QUATTRO 3.2 FSI;A6 ALLROAD QUATTRO 3.2 FSI
AUDI;A6;ALLROAD QUATTRO 3.2 FSI TIPTRONIC;A6 ALLROAD QUATTRO 3.2 FSI TIPTRONIC
AUDI;A6;ALLROAD QUATTRO 4.2 FSI TIPTRONIC;A6 ALLROAD QUATTRO 4.2 FSI TIPTRONIC
AUDI;S8;;S8
AUDI;A6;2.0 TFSI TIPTRONIC;A6 2.0 TFSI TIPTRONIC
AUDI;TT;2.0 TFSI;TT 2.0 TFSI
AUDI;TT;2.0 TFSI S TRONIC;TT 2.0 TFSI S TRONIC
AUDI;TT;3.2 QUATTRO S TRONIC;TT 3.2 QUATTRO S TRONIC
AUDI;A3;2.0 TDI S TRONIC;A3 2.0 TDI S TRONIC
AUDI;A4;CABRIOLET 2.0T FSI;A4 CABRIOLET 2.0T FSI
AUDI;A4;CABRIOLET 2.0T FSI MULTITRONIC;A4 CABRIOLET 2.0T FSI MULTITRONIC
AUDI;A6;4.2 FSI QUATTRO TIPTRONIC;A6 4.2 FSI QUATTRO TIPTRONIC
AUDI;A6;AVANT 4.2 FSI QUATTRO TIPTRONIC;A6 AVANT 4.2 FSI QUATTRO TIPTRONIC
AUDI;A8;4.2 FSI QUATTRO TIPTRONIC;A8 4.2 FSI QUATTRO TIPTRONIC
AUDI;A8;L 4.2 FSI QUATTRO TIPTRONIC;A8 L 4.2 FSI QUATTRO TIPTRONIC
AUDI;A6;2.0 TDI MULTIRONIC;A6 2.0 TDI MULTIRONIC
AUDI;A6;AVANT 2.0 TDI MULTITRONIC;A6 AVANT 2.0 TDI MULTITRONIC
AUDI;A3;1.8 TFSI;A3 1.8 TFSI
AUDI;A3;1.8 TFSI S TRONIC;A3 1.8 TFSI S TRONIC
AUDI;A3;SPORTBACK 1.8 TFSI;A3 SPORTBACK 1.8 TFSI
AUDI;A3;SPORTBACK 1.8 TFSI S TRONIC;A3 SPORTBACK 1.8 TFSI S TRONIC
AUDI;TTR;2.0 TFSI;TTR 2.0 TFSI
AUDI;TTR;2.0 TFSI S TRONIC;TTR 2.0 TFSI S TRONIC
AUDI;TTR;3.2 QUATTRO S TRONIC;TTR 3.2 QUATTRO S TRONIC
AUDI;R8;4.2 FSI;R8 4.2 FSI
AUDI;R8;4.2 FSI R TRONIC;R8 4.2 FSI R TRONIC
AUDI;S3;2.0 TFSI QUATTRO;S3 2.0 TFSI QUATTRO
AUDI;A5;COUPE 2.7 TDI MULTITRONIC;A5 COUPE 2.7 TDI MULTITRONIC
AUDI;A5;COUPE 3.0 TDI QUATTRO;A5 COUPE 3.0 TDI QUATTRO
AUDI;A5;COUPE 3.2 FSI MULTITRONIC;A5 COUPE 3.2 FSI MULTITRONIC
AUDI;S5;COUPE 4.2 FSI QUATTRO;S5 COUPE 4.2 FSI QUATTRO
AUDI;A3;1.4 TFSI (125);A3 1.4 TFSI (125)
AUDI;A3;SPORTBACK 1.4 TFSI (125);A3 SPORTBACK 1.4 TFSI (125)
AUDI;A5;COUPE 1.8 TFSI;A5 COUPE 1.8 TFSI
AUDI;A8;3.0 TDI QUATTRO TIPTRONIC LONG;A8 3.0 TDI QUATTRO TIPTRONIC LONG
AUDI;A4;1.8 TFSI (160);A4 1.8 TFSI (160)
AUDI;A4;1.8 TFSI MULTITRONIC (160);A4 1.8 TFSI MULTITRONIC (160)
AUDI;A4;2.0 TDI (143);A4 2.0 TDI (143)
AUDI;A4;2.0 TDI MULTITRONIC (140);A4 2.0 TDI MULTITRONIC (140)
AUDI;A4;2.0 TDI (170);A4 2.0 TDI (170)
AUDI;A4;2.7 TDI MULTITRONIC (190);A4 2.7 TDI MULTITRONIC (190)
AUDI;A4;3.0 TDI MULTITRONIC (240);A4 3.0 TDI MULTITRONIC (240)
AUDI;Q7;3.0 TDI S-LINE;Q7 3.0 TDI S-LINE
AUDI;A5;COUPE 1.8 TFSI MULTITRONIC;A5 COUPE 1.8 TFSI MULTITRONIC
AUDI;A4;3.0 TDI QUATTRO (240);A4 3.0 TDI QUATTRO (240)
AUDI;A3;CABRIOLET 1.8 TFSI (160);A3 CABRIOLET 1.8 TFSI (160)
AUDI;A3;CABRIOLET 1.8 TFSI S TRONIC (160);A3 CABRIOLET 1.8 TFSI S TRONIC (160)
AUDI;A3;CABRIOLET 2.0 TFSI (200);A3 CABRIOLET 2.0 TFSI (200)
AUDI;A3;CABRIOLET 1.9 TDI (105);A3 CABRIOLET 1.9 TDI (105)
AUDI;A3;CABRIOLET 2.0 TDI (140);A3 CABRIOLET 2.0 TDI (140)
AUDI;A3;CABRIOLET 2.0 TDI S TRONIC (140);A3 CABRIOLET 2.0 TDI S TRONIC (140)
AUDI;A3;1.4 TFSI S TRONIC (125);A3 1.4 TFSI S TRONIC (125)
AUDI;A3;SPORTBACK 1.4 TFSI S TRONIC (122);A3 SPORTBACK 1.4 TFSI S TRONIC (122)
AUDI;A4;1.8 TFSI (120);A4 1.8 TFSI (120)
AUDI;A3;1.6 S TRONIC;A3 1.6 S TRONIC
AUDI;A3;SPORTBACK 1.6 S TRONIC;A3 SPORTBACK 1.6 S TRONIC
AUDI;TTS;COUPE 2.0 TFSI QUATTRO;TTS COUPE 2.0 TFSI QUATTRO
AUDI;TTS;COUPE 2.0 TFSI QUATTRO S TRONIC;TTS COUPE 2.0 TFSI QUATTRO S TRONIC
AUDI;TTS;ROADSTAR 2.0 TFSI QUATTRO;TTS ROADSTAR 2.0 TFSI QUATTRO
AUDI;TTS;ROADSTAR 2.0 TFSI QUATTRO S TRONIC;TTS ROADSTAR 2.0 TFSI QUATTRO S TRONIC
AUDI;A5;COUPE 2.0 TFSI (180);A5 COUPE 2.0 TFSI (180)
AUDI;A5;COUPE 2.0 TFSI (180) MULTITRONIC;A5 COUPE 2.0 TFSI (180) MULTITRONIC
